ARID4B
ARID5A
ARIH1
ARIH2
ARL1
ARL11
ARL14
ARL15
ARL16
ARL2
ARL2BP
ARL3
ARL4A
ARL4C
ARL4D
ARL5B
ARL6IP1
ARL6IP4
ARL6IP5
ARL8B
ARMC7
ARMC8
ARMC9
ARMCX1
ARMCX2
ARMCX3
ARMCX5
ARNT
ARNT2
ARNTL
ARPC1B
ARPC2
ARPC3
ARPC4
ARPC5
ARPC5L
ARR3
ARRB1
ARRB2
ARRDC1
ARRDC3
ARSA
ARSE
ARSI
ARSJ
ART4
ARVCF
ASAH1
ASAP1
ASAP2
ASAP3
ASB12
ASB13
ASB16
ASB2
ASB6
ASB7
ASB8
ASB9
ASCC1
ASCC2
ASCC3
ASCL3
ASCL4
ASF1A
ASF1B
ASGR1
ASGR2
ASH1L
ASH2L
ASIC1
ASIC2
ASL
ASMTL
ASNA1
ASNS
ASPA
ASPH
ASPSCR1
ASRGL1
ASS1
ASTE1
ASUN
ASXL1
ASXL2
ATAD5
ATF1
ATF2
ATF3
ATF4
ATF5
ATF6
ATF7
ATF7IP
ATG12
ATG13
ATG14
ATG16L1
ATG16L2
ATG3
ATG4A
ATG4B
ATG5
ATG7
ATG9A
ATM
ATN1
ATOX1
ATP13A2
ATP1A1
ATP1A3
ATP1A4
ATP1B1
ATP2A1
ATP2A2
ATP2A3
ATP2B4
ATP4B
ATP5A1
ATP5B
ATP5C1
ATP5F1
ATP5G1
ATP5G3
ATP5H
ATP5J
ATP5J2
ATP5O
ATP6AP1
ATP6AP2
ATP6V0C
ATP6V0D1
ATP6V0E2
ATP6V1A
ATP6V1B2
ATP6V1C2
ATP6V1D
ATP6V1E1
ATP6V1E2
ATP6V1F
ATP6V1G1
ATP6V1G2
ATP6V1H
ATP7A
ATP7B
ATP8
ATPAF1
ATPAF2
ATPIF1
ATR
ATRIP
ATRN
ATRX
ATXN1
ATXN1L
ATXN2
ATXN2L
ATXN3
ATXN7
ATXN7L1
ATXN7L2
ATXN7L3
AUP1
AURKA
AURKAIP1
AURKB
AVEN
AVPI1
AXIN1
AXIN2
AXL
AZI1
AZI2
AZIN1
AZU1
B2M
B3GALT4
B3GNT4
B3GNT9
B3GNTL1
B4GALT3
B4GALT7
B9D1
BAALC
BAAT
BABAM1
BACE2
BACH1
BACH2
BAD
BAG1
BAG3
BAG4
BAG5
BAG6
BAHCC1
BAHD1
BAI2
BAIAP2
BAIAP2L1
BAK1
BANF1
BANP
BAP1
BARD1
BARHL1
BARHL2
BARX1
BAT3
BAT4
BAT5
BATF
BATF2
BATF3
BAX
BAZ1A
BAZ1B
BAZ2A
BAZ2B
BBC3
BBOX1
BBS10
BBS2
BBS4
BBS5
BCAM
BCAP29
BCAP31
BCAR1
BCAR3
BCAS2
BCAS3
BCAT1
BCCIP
BCDIN3D
BCKDK
BCL10
BCL11A
BCL11B
BCL2
BCL2A1
BCL2L1
BCL2L10
BCL2L11
BCL2L13
BCL2L15
BCL2L2
BCL3
BCL6
BCL6B
BCL7A
BCL7B
BCL9
BCLAF1
BCOR
BCR
BCS1L
BDKRB2
BDNF
BECN1
BEGAIN
BEND2
BEND3
BEND5
BEND7
BET1
BET1L
BEX1
BEX2
BEX5
BFAR
BFSP1
BFSP2
BGN
BHLHE40
BHLHE41
BICD1
BICD2
BID
BIK
BIN1
BIN3
BIRC2
BIRC3
BIRC5
BIRC6
BIRC7
BIRC8
BLCAP
BLK
BLM
BLMH
BLNK
BLOC1S1
BLOC1S2
BLVRA
BLZF1
BMF
BMI1
BMP1
BMP15
BMP2
BMP4
BMP6
BMP7
BMP8B
BMPR1A
BMPR1B
BMPR2
BMS1P5
BMX
BNIP2
BNIP3
BNIP3L
BNIPL
BOC
BOD1L
BOK
BOLA1
BOLL
BORA
BPGM
BPIFA1
BPTF
BRAF
BRAP
BRCA1
BRCA2
BRCC3
BRD1
BRD2
BRD3
BRD4
BRD7
BRD8
BRD9
BRDT
BRE
BRF1
BRF2
BRIP1
BRIX1
BRK1
BRMS1
BRMS1L
BRP44
BRP44L
BRPF1
BRPF3
BSCL2
BSDC1
BSG
BSND
BTAF1
BTBD10
BTBD12
BTBD2
BTBD3
BTC
BTF3
BTF3L4
BTG1
BTG2
BTG3
BTK
BTLA
BTN2A2
BTRC
BUB1
BUB1B
BUB3
BUD13
BUD31
BYSL
BZRAP1
BZW1
BZW2
C10ORF10
C10ORF116
C10ORF118
C10ORF12
C10ORF137
C10ORF2
C10ORF54
C10ORF62
C10ORF82
C10ORF88
C10ORF96
C10orf119
C10orf12
C10orf137
C10orf18
C10orf26
C10orf28
C10orf35
C10orf62
C10orf78
C10orf96
C11ORF1
C11ORF16
C11ORF2
C11ORF30
C11ORF41
C11ORF46
C11ORF49
C11ORF54
C11ORF57
C11ORF58
C11ORF61
C11ORF65
C11ORF68
C11ORF75
C11orf30
C11orf49
C11orf54
C11orf57
C11orf65
C11orf67
C11orf68
C11orf75
C11orf87
C12ORF10
C12ORF12
C12ORF35
C12ORF44
C12ORF52
C12orf10
C12orf12
C12orf32
C12orf40
C12orf49
C12orf50
C12orf52
C12orf68
C12orf69
C12orf75
C13orf1
C13orf39
C14ORF1
C14ORF119
C14ORF133
C14ORF135
C14ORF166
C14ORF43
C14orf105
C14orf118
C14orf156
C14orf159
C14orf179
C14orf182
C14orf48
C14orf93
C15ORF23
C15ORF29
C15ORF39
C15ORF63
C15orf29
C15orf38
C15orf55
C15orf63
C16ORF45
C16ORF48
C16ORF5
C16ORF53
C16ORF57
C16ORF58
C16ORF70
C16ORF74
C16ORF80
C16orf45
C16orf48
C16orf5
C16orf59
C16orf70
C16orf72
C16orf74
C16orf79
C16orf87
C17ORF103
C17ORF28
C17ORF61
C17ORF62
C17ORF70
C17ORF76-AS1
C17ORF81
C17orf103
C17orf28
C17orf37
C17orf55
C17orf59
C17orf62
C17orf67
C17orf68
C17orf70
C17orf82
C18ORF25
C18ORF54
C18ORF56
C18orf18
C18orf22
C18orf25
C18orf45
C18orf54
C18orf56
C19ORF10
C19ORF25
C19ORF40
C19ORF43
C19ORF44
C19ORF46
C19ORF57
C19ORF6
C19ORF60
C19orf10
C19orf25
C19orf34
C19orf44
C19orf46
C19orf47
C19orf50
C19orf57
C19orf61
C19orf62
C19orf66
C19orf73
C1D
C1ORF109
C1ORF111
C1ORF114
C1ORF116
C1ORF123
C1ORF124
C1ORF174
C1ORF182
C1ORF216
C1ORF35
C1ORF50
C1ORF63
C1ORF65
C1ORF94
C1QBP
C1QTNF1
C1QTNF2
C1QTNF6
C1orf104
C1orf105
C1orf107
C1orf109
C1orf111
C1orf116
C1orf161
C1orf182
C1orf190
C1orf216
C1orf35
C1orf38
C1orf50
C1orf51
C1orf59
C1orf63
C1orf65
C1orf77
C1orf83
C1orf89
C1orf91
C1orf94
C2
C20ORF112
C20ORF195
C20ORF20
C20ORF27
C20ORF30
C20ORF43
C20ORF72
C20orf112
C20orf160
C20orf195
C20orf20
C20orf70
C21ORF33
C21ORF56
C21ORF58
C21ORF59
C21ORF7
C21ORF91
C21orf119
C21orf2
C21orf45
C21orf56
C21orf58
C21orf67
C21orf7
C21orf70
C22ORF39
C22ORF46
C22orf13
C22orf23
C22orf39
C22orf40
C22orf41
C22orf43
C22orf46
C2ORF18
C2ORF28
C2ORF44
C2ORF51
C2ORF65
C2ORF73
C2ORF88
C2orf42
C2orf51
C2orf62
C2orf63
C2orf64
C2orf65
C2orf7
C2orf85
C2orf88
C3
C3ORF19
C3ORF52
C3ORF62
C3orf1
C3orf10
C3orf25
C3orf34
C3orf39
C3orf52
C3orf54
C3orf62
C4A
C4B
C4BPA
C4ORF17
C4ORF27
C4ORF3
